Element_ID,Wall_Element_ID,Building_Level,Orientation,Glass_Area_m2,Window_Width_m,Window_Height_m,Azimuth_degrees,Annual_Radiation_kWh_m2,PV_Suitable,BIPV_Technology,BIPV_Efficiency_%,BIPV_Transparency_%,BIPV_Power_Density_W_m2,System_Capacity_kW,Annual_Generation_kWh,Cost_per_m2_EUR,Total_System_Cost_EUR,Payback_Period_Years,Solution_Status
350862,342319,6,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350863,342319,6,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350864,342319,6,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350865,342319,6,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350866,342319,6,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350867,342319,6,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350868,342319,6,N/A,10.68,4.0,2.67,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350869,342319,6,N/A,10.68,4.0,2.67,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350870,342319,6,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350871,342319,6,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350872,342319,6,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350873,342319,6,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350874,342319,6,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350875,342319,6,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350876,342319,6,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350881,342319,7,N/A,10.68,4.0,2.67,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350882,342319,7,N/A,10.68,4.0,2.67,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350883,342319,7,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350884,342319,7,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350885,342319,7,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350886,342319,7,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350887,342319,7,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350888,342319,7,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350889,342319,7,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350890,342319,7,N/A,10.68,4.0,2.67,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350891,342319,7,N/A,10.68,4.0,2.67,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350892,342319,7,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350893,342319,7,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350894,342319,7,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350895,342319,7,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350896,342319,7,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350897,342319,7,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350898,342319,7,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350903,342319,8,N/A,10.68,4.0,2.67,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350904,342319,8,N/A,10.68,4.0,2.67,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350905,342319,8,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350906,342319,8,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350907,342319,8,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350908,342319,8,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350909,342319,8,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350910,342319,8,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350911,342319,8,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350912,342319,8,N/A,10.68,4.0,2.67,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350913,342319,8,N/A,10.68,4.0,2.67,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350914,342319,8,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350915,342319,8,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350916,342319,8,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350917,342319,8,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350918,342319,8,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350919,342319,8,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350920,342319,8,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
353807,342223,3,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
353808,342223,3,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
353809,342223,3,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
353810,342223,3,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
353811,342223,3,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
353829,342223,0,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
353830,342223,0,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
353831,342223,0,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
353832,342223,0,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
353833,342223,0,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
353837,342223,1,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
353838,342223,1,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
353839,342223,1,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
353840,342223,1,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
353841,342223,1,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
353845,342223,2,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
353846,342223,2,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
353847,342223,2,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
353848,342223,2,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
353849,342223,2,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
353853,342223,4,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
353854,342223,4,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
353855,342223,4,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
353856,342223,4,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
353857,342223,4,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
354772,352360,3,N/A,820.24,35.08,23.38,354.1,233.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,132.47,30865.0,408.0,334658.0,34.4,INCLUDED
354939,342603,1,N/A,1351.44,45.02,30.02,354.1,233.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,218.26,50854.0,408.0,551388.0,34.4,INCLUDED
354944,352360,2,N/A,820.24,35.08,23.38,354.1,233.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,132.47,30865.0,408.0,334658.0,34.4,INCLUDED
354949,352360,4,N/A,820.24,35.08,23.38,354.1,233.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,132.47,30865.0,408.0,334658.0,34.4,INCLUDED
354954,352360,5,N/A,820.24,35.08,23.38,354.1,233.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,132.47,30865.0,408.0,334658.0,34.4,INCLUDED
354959,352360,6,N/A,820.24,35.08,23.38,354.1,233.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,132.47,30865.0,408.0,334658.0,34.4,INCLUDED
354964,352360,7,N/A,820.24,35.08,23.38,354.1,233.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,132.47,30865.0,408.0,334658.0,34.4,INCLUDED
354969,352360,8,N/A,820.24,35.08,23.38,354.1,233.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,132.47,30865.0,408.0,334658.0,34.4,INCLUDED
355915,342319,6,N/A,44.04,8.13,5.42,174.1,1058.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,7.11,7525.0,408.0,17968.0,7.6,INCLUDED
355916,342319,6,N/A,44.04,8.13,5.42,174.1,1058.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,7.11,7525.0,408.0,17968.0,7.6,INCLUDED
355917,342319,6,N/A,44.04,8.13,5.42,174.1,1058.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,7.11,7525.0,408.0,17968.0,7.6,INCLUDED
355921,342319,7,N/A,44.04,8.13,5.42,174.1,1058.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,7.11,7525.0,408.0,17968.0,7.6,INCLUDED
355922,342319,7,N/A,44.04,8.13,5.42,174.1,1058.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,7.11,7525.0,408.0,17968.0,7.6,INCLUDED
355923,342319,7,N/A,44.04,8.13,5.42,174.1,1058.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,7.11,7525.0,408.0,17968.0,7.6,INCLUDED
355927,342319,8,N/A,44.04,8.13,5.42,174.1,1058.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,7.11,7525.0,408.0,17968.0,7.6,INCLUDED
355928,342319,8,N/A,44.04,8.13,5.42,174.1,1058.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,7.11,7525.0,408.0,17968.0,7.6,INCLUDED
355929,342319,8,N/A,44.04,8.13,5.42,174.1,1058.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,7.11,7525.0,408.0,17968.0,7.6,INCLUDED
366345,342225,0,N/A,31.58,6.88,4.59,83.5,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
366379,342225,0,N/A,31.58,6.88,4.59,263.5,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
366386,342225,0,N/A,31.58,6.88,4.59,263.5,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
366593,342225,2,N/A,31.58,6.88,4.59,263.5,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
366594,342225,2,N/A,31.58,6.88,4.59,263.5,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
366595,342225,2,N/A,31.58,6.88,4.59,263.5,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
366874,342225,2,N/A,31.58,6.88,4.59,263.5,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
367126,342225,4,N/A,2.06,1.76,1.17,263.5,780.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,0.33,259.0,408.0,840.0,10.3,INCLUDED
367134,342225,4,N/A,2.06,1.76,1.17,263.5,780.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,0.33,259.0,408.0,840.0,10.3,INCLUDED
367274,342221,0,N/A,31.58,6.88,4.59,264.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
367275,342221,0,N/A,31.58,6.88,4.59,264.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
367276,342221,0,N/A,31.58,6.88,4.59,264.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
367277,342221,2,N/A,31.58,6.88,4.59,264.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
367278,342221,2,N/A,31.58,6.88,4.59,264.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
367279,342221,2,N/A,31.58,6.88,4.59,264.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
367280,342221,2,N/A,31.58,6.88,4.59,264.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
367281,342221,0,N/A,31.58,6.88,4.59,264.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
367761,342222,0,N/A,543.15,28.54,19.03,354.1,233.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,87.72,20438.0,408.0,221605.0,34.4,INCLUDED
367842,342238,2,N/A,13.43,4.49,2.99,264.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
367843,342238,2,N/A,13.43,4.49,2.99,264.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
367844,342238,2,N/A,13.43,4.49,2.99,264.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
368995,342238,2,N/A,13.43,4.49,2.99,264.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
369015,342238,4,N/A,2.06,1.76,1.17,264.1,849.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,0.33,282.0,408.0,840.0,9.4,INCLUDED
369224,342225,4,N/A,2.06,1.76,1.17,263.5,780.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,0.33,259.0,408.0,840.0,10.3,INCLUDED
369225,342225,4,N/A,2.06,1.76,1.17,263.5,780.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,0.33,259.0,408.0,840.0,10.3,INCLUDED
369235,342225,4,N/A,2.06,1.76,1.17,263.5,780.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,0.33,259.0,408.0,840.0,10.3,INCLUDED
369236,342225,4,N/A,2.06,1.76,1.17,263.5,780.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,0.33,259.0,408.0,840.0,10.3,INCLUDED
369246,342225,4,N/A,2.06,1.76,1.17,263.5,780.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,0.33,259.0,408.0,840.0,10.3,INCLUDED
369247,342225,4,N/A,2.06,1.76,1.17,263.5,780.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,0.33,259.0,408.0,840.0,10.3,INCLUDED
369332,342221,4,N/A,2.06,1.76,1.17,84.1,855.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,0.33,284.0,408.0,840.0,9.4,INCLUDED
369333,342221,4,N/A,2.06,1.76,1.17,84.1,855.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,0.33,284.0,408.0,840.0,9.4,INCLUDED
369460,342221,4,N/A,2.06,1.76,1.17,84.1,855.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,0.33,284.0,408.0,840.0,9.4,INCLUDED
369461,342221,4,N/A,2.06,1.76,1.17,84.1,855.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,0.33,284.0,408.0,840.0,9.4,INCLUDED
369471,342221,4,N/A,2.06,1.76,1.17,84.1,855.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,0.33,284.0,408.0,840.0,9.4,INCLUDED
369472,342221,4,N/A,2.06,1.76,1.17,84.1,855.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,0.33,284.0,408.0,840.0,9.4,INCLUDED
369482,342221,4,N/A,2.06,1.76,1.17,84.1,855.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,0.33,284.0,408.0,840.0,9.4,INCLUDED
369483,342221,4,N/A,2.06,1.76,1.17,84.1,855.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,0.33,284.0,408.0,840.0,9.4,INCLUDED
370300,342238,4,N/A,2.06,1.76,1.17,264.1,849.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,0.33,282.0,408.0,840.0,9.4,INCLUDED
371062,342238,2,N/A,13.43,4.49,2.99,264.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
371063,342238,2,N/A,13.43,4.49,2.99,264.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
371064,342238,2,N/A,13.43,4.49,2.99,264.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
371165,342238,4,N/A,2.06,1.76,1.17,264.1,849.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,0.33,282.0,408.0,840.0,9.4,INCLUDED
371166,342238,4,N/A,2.06,1.76,1.17,264.1,849.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,0.33,282.0,408.0,840.0,9.4,INCLUDED
371176,342238,4,N/A,2.06,1.76,1.17,264.1,849.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,0.33,282.0,408.0,840.0,9.4,INCLUDED
371177,342238,4,N/A,2.06,1.76,1.17,264.1,849.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,0.33,282.0,408.0,840.0,9.4,INCLUDED
371187,342238,4,N/A,2.06,1.76,1.17,264.1,849.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,0.33,282.0,408.0,840.0,9.4,INCLUDED
371188,342238,4,N/A,2.06,1.76,1.17,264.1,849.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,0.33,282.0,408.0,840.0,9.4,INCLUDED
371196,342238,4,N/A,2.06,1.76,1.17,264.1,849.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,0.33,282.0,408.0,840.0,9.4,INCLUDED
371197,342238,4,N/A,2.06,1.76,1.17,264.1,849.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,0.33,282.0,408.0,840.0,9.4,INCLUDED
371205,342238,4,N/A,2.06,1.76,1.17,264.1,849.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,0.33,282.0,408.0,840.0,9.4,INCLUDED
371206,342238,4,N/A,2.06,1.76,1.17,264.1,849.0,YES,Solarwatt Vision AM,19.0,30.0,190.0,0.33,282.0,408.0,840.0,9.4,INCLUDED
